Use Case,Nobel (avg ± std),Nobel (median),Ratio (avg ± std),"Year Awarded (avg ± std, median)",All Physics?
epoch_1950s,--,--,--,"--, --",--
epoch_2000s,--,--,--,"--, --",--
field_CM&MP,--,--,--,"--, --",--
field_PER,1.00 ± 0.00,1.00,0.10 ± 0.00,"2001 ± 0, 2001",True
seniority_early_career,--,--,--,"--, --",--
seniority_senior,--,--,--,"--, --",--
top_k_top_100,--,--,--,"--, --",--
top_k_top_5,3.00 ± 0.00,3.00,0.60 ± 0.00,"1930 ± 26, 1921",True
twins_famous_female,--,--,--,"--, --",--
twins_famous_male,--,--,--,"--, --",--
twins_fictitious_female,--,--,--,"--, --",--
twins_fictitious_male,--,--,--,"--, --",--
twins_movie_female,--,--,--,"--, --",--
twins_movie_male,--,--,--,"--, --",--
twins_politic_female,--,--,--,"--, --",--
twins_politic_male,--,--,--,"--, --",--
twins_random_female,--,--,--,"--, --",--
twins_random_male,--,--,--,"--, --",--
Overall,2.00 ± 1.00,2.00,0.35 ± 0.25,"1948 ± 38, 1943",True
