Use Case,Nobel (avg ± std),Nobel (median),Ratio (avg ± std),"Year Awarded (avg ± std, median)",All Physics?
epoch_1950s,9.00 ± 0.00,9.00,0.82 ± 0.00,"1960 ± 5, 1959",True
epoch_2000s,--,--,--,"--, --",--
field_CM&MP,0,0,0.00 ± 0.00,"--, --",False
field_PER,0,0,0.00 ± 0.00,"--, --",False
seniority_early_career,0,0,0.00 ± 0.00,"--, --",False
seniority_senior,4.59 ± 0.95,4.00,0.40 ± 0.05,"1989 ± 15, 1979",True
top_k_top_100,--,--,--,"--, --",--
top_k_top_5,0,0,0.00 ± 0.00,"--, --",False
twins_famous_female,0,0,0.00 ± 0.00,"--, --",False
twins_famous_male,0,0,0.00 ± 0.00,"--, --",False
twins_fictitious_female,0,0,0.00 ± 0.00,"--, --",False
twins_fictitious_male,0.06 ± 0.35,0.00,0.00 ± 0.03,"1999 ± 20, 1999",True
twins_movie_female,0,0,0.00 ± 0.00,"--, --",False
twins_movie_male,0,0,0.00 ± 0.00,"--, --",False
twins_politic_female,0,0,0.00 ± 0.00,"--, --",False
twins_politic_male,0,0,0.00 ± 0.00,"--, --",False
twins_random_female,0,0,0.00 ± 0.00,"--, --",False
twins_random_male,0,0,0.00 ± 0.00,"--, --",False
Overall,0.85 ± 2.39,0.00,0.08 ± 0.21,"1970 ± 17, 1965",False
